bpsName,bpsNumber,groupVeg,acresTotal,acresLeft,percentLeft,disturbance,percentDisturbed,acresDisturbed,acresDisturbedLeft
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,Wind/Weather/Stress,0.74444,8634,6945.561588
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,ReplacementFire,0.10014,1161,933.9584206
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,NonReplacementFire,0.08806,1021,821.3363888
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,NonFireDisturbances,0.74444,8634,6945.561588
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,AlternativeSuccession,0.64668,7500,6033.32313
Appalachian (Hemlock-)Northern Hardwood Forest,6613700,Hardwood,1159780,932977,80.4443084,MixedFire,0.08806,1021,821.3363888
Appalachian Shale Barrens,6113400,Hardwood,2689,2059,76.57121607,NonReplacementFire,0.09584,3,2.297136482
Appalachian Shale Barrens,6113400,Hardwood,2689,2059,76.57121607,MixedFire,0.09584,3,2.297136482
Appalachian Shale Barrens,6113400,Hardwood,2689,2059,76.57121607,NonFireDisturbances,1.90248,51,39.05132019
Arkansas Valley Prairie and Woodland - Prairie,4414151,Grassland,698623,52489,7.513208125,ReplacementFire,41.13426,287374,21591.00672
Arkansas Valley Prairie and Woodland - Prairie,4414151,Grassland,698623,52489,7.513208125,MixedFire,0.2954,2064,155.0726157
Arkansas Valley Prairie and Woodland - Prairie,4414151,Grassland,698623,52489,7.513208125,SurfaceFire,8.61832,60210,4523.702612
Arkansas Valley Prairie and Woodland - Prairie,4414151,Grassland,698623,52489,7.513208125,AlternativeSuccession,0.14076,983,73.85483587
Arkansas Valley Prairie and Woodland - Prairie,4414151,Grassland,698623,52489,7.513208125,NonReplacementFire,8.91372,62273,4678.700096
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,ReplacementFire,0.21056,11167,2600.718729
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,NonReplacementFire,2.5943,137590,32043.77988
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,MixedFire,0.2633,13964,3252.121101
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,NonFireDisturbances,0.49856,26441,6157.929964
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,Wind/Weather/Stress,0.49856,26441,6157.929964
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,SurfaceFire,2.331,123626,28791.65878
Atlantic Coastal Plain Mesic Hardwood Forest,6013430,Hardwood,5303559,1235163,23.28932326,AlternativeSuccession,0.55182,29266,6815.853346
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,NonReplacementFire,6.4582,1971,894.5585922
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,NonFireDisturbances,0.07208,22,9.98492594
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,Wind/Weather/Stress,0.07208,22,9.98492594
Atlantic Coastal Plain Peatland Pocosin and Canebrake,6014520,Riparian,30516,13850,45.386027,ReplacementFire,7.24024,2209,1002.577336
